cohort,question_id,participant_id,source_video_id,category,question_type,anchor_layer,target_layer,distance_from_anchor,anchor_native_temporal_entropy,native_retained_target_layer_mass,native_oracle_top50_target_layer_mass,reuse_efficiency,native_source_target_top2_jaccard,native_source_target_spearman,selected_native_unit_ids,selected_analysis_bins,selected_units_adjacent,normalized_temporal_coverage_span,contains_first_unit,contains_last_unit,descriptive_eight_bin_anchor_entropy,descriptive_eight_bin_retained_mass,descriptive_eight_bin_top4_oracle_mass
development,fine_grained_action_recognition_1705,P06,P06-20240510-121619,fine_grained,fine_grained_action_recognition,20,22,2,0.9968193610331945,0.5890671664560017,0.6090628467344656,0.9671697586124777,0.3333333333333333,0.19999999999999998,0 3,0 1 6 7,False,1.0,True,True,0.997879574018342,0.5890671664491958,0.6090628467274287
development,fine_grained_action_recognition_1705,P06,P06-20240510-121619,fine_grained,fine_grained_action_recognition,20,23,3,0.9968193610331945,0.572760538184481,0.572760538184481,1.0,1.0,0.7999999999999999,0 3,0 1 6 7,False,1.0,True,True,0.997879574018342,0.572760538178946,0.572760538178946
development,fine_grained_action_recognition_1705,P06,P06-20240510-121619,fine_grained,fine_grained_action_recognition,24,25,1,0.9798358799703506,0.595078102897796,0.595078102897796,1.0,1.0,1.0,0 1,0 1 2 3,True,0.5,True,False,0.9865572533078544,0.5950781028918035,0.5950781028918035
development,fine_grained_action_recognition_1705,P06,P06-20240510-121619,fine_grained,fine_grained_action_recognition,24,26,2,0.9798358799703506,0.581262869294685,0.5851723980345265,0.9933190137590686,0.3333333333333333,0.7999999999999999,0 1,0 1 2 3,True,0.5,True,False,0.9865572533078544,0.5812628692900808,0.5851723980298913
development,fine_grained_action_recognition_1705,P06,P06-20240510-121619,fine_grained,fine_grained_action_recognition,24,27,3,0.9798358799703506,0.631473793006968,0.631473793006968,1.0,1.0,1.0,0 1,0 1 2 3,True,0.5,True,False,0.9865572533078544,0.6314737930026479,0.6314737930026479
development,fine_grained_action_recognition_284,P01,P01-20240202-161354,fine_grained,fine_grained_action_recognition,8,9,1,0.9390370435199368,0.646025228193629,0.646025228193629,1.0,1.0,1.0,0 1,0 1 2 3,True,0.5,True,False,0.9593580290098224,0.6460252281899476,0.6460252281899476
development,fine_grained_action_recognition_284,P01,P01-20240202-161354,fine_grained,fine_grained_action_recognition,8,10,2,0.9390370435199368,0.6461231328496438,0.6461231328496438,1.0,1.0,1.0,0 1,0 1 2 3,True,0.5,True,False,0.9593580290098224,0.646123132841791,0.646123132841791
development,fine_grained_action_recognition_284,P01,P01-20240202-161354,fine_grained,fine_grained_action_recognition,8,11,3,0.9390370435199368,0.6247113642764166,0.6247113642764166,1.0,1.0,1.0,0 1,0 1 2 3,True,0.5,True,False,0.9593580290098224,0.6247113642723404,0.6247113642723404
development,fine_grained_action_recognition_284,P01,P01-20240202-161354,fine_grained,fine_grained_action_recognition,12,13,1,0.9767010416619849,0.5890860917510011,0.5890860917510011,1.0,1.0,1.0,0 1,0 1 2 3,True,0.5,True,False,0.9844673611047785,0.5890860917480614,0.5890860917480614
development,fine_grained_action_recognition_284,P01,P01-20240202-161354,fine_grained,fine_grained_action_recognition,12,14,2,0.9767010416619849,0.6201637463973746,0.6201637463973746,1.0,1.0,1.0,0 1,0 1 2 3,True,0.5,True,False,0.9844673611047785,0.6201637463940641,0.6201637463940641
development,fine_grained_action_recognition_284,P01,P01-20240202-161354,fine_grained,fine_grained_action_recognition,12,15,3,0.9767010416619849,0.5187610774277736,0.5187610774277736,1.0,1.0,0.7999999999999999,0 1,0 1 2 3,True,0.5,True,False,0.9844673611047785,0.5187610774245612,0.5187610774245613
development,fine_grained_action_recognition_284,P01,P01-20240202-161354,fine_grained,fine_grained_action_recognition,16,17,1,0.9933650260923967,0.5582348292734123,0.5582348292734123,1.0,1.0,1.0,0 1,0 1 2 3,True,0.5,True,False,0.9955766840581233,0.5582348292683008,0.5582348292683008
development,fine_grained_action_recognition_284,P01,P01-20240202-161354,fine_grained,fine_grained_action_recognition,16,18,2,0.9933650260923967,0.5550894530680353,0.5550894530680353,1.0,1.0,1.0,0 1,0 1 2 3,True,0.5,True,False,0.9955766840581233,0.5550894530641057,0.5550894530641057
